Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
COVID-19 in Children and the Dynamics of Infection in Families,"Posfay-Barbe, K. M.; Wagner, N.; Gauthey, M.; Moussaoui, D.; Loevy, N.; Diana, A.; L'Huillier, A. G.",,2020,May 26,Pediatrics,,,,32457213,10.1542/peds.2020-1576,,#1825,Posfay-Barbe 2020,"",extracted; qa done
"Coronavirus disease 2019 in children: Characteristics, antimicrobial treatment, and outcomes","Peng, H.; Gao, P.; Xu, Q.; Liu, M.; Peng, J.; Wang, Y.; Xu, H.","BACKGROUND: At present, coronavirus disease 2019 (COVID-19) has spread in many countries. We conducted this study to help pediatricians understand the conditions of COVID-19 in children. METHODS: We retrospectively summarized the characteristics, treatment and outcomes of pediatric cases in Wuhan Children's Hospital which was the only designated hospital for children with COVID-19 in Hubei Province. A Cox proportional hazards regression analysis was used to evaluate factors associated with clinical outcomes. RESULTS: As of February 29, 75 children had been discharged, of which only one was has severe pneumonia and one was critical cases. Children younger than 2 years were more susceptible to COVID-19. All patients have received interferon-α nebulization, and eight cases including the severe and critical cases were co-administrated ribavirin. Five patients with mild pneumonia were given arbidol. Twenty-three patients were given traditional Chinese medicine (TCM). The average length of stay (LOS) and the time of SARS-CoV-2 clearance were 10.57 and 6.39 days, respectively. None of the factors was associated with LOS or time of SARS-CoV-2 clearance. CONCLUSIONS: The severity of COVID-19 in pediatric cases were milder than adults. The efficacy of the antiviral therapy in children with COVID-19 remains to be evaluated.",2020,Jul,J Clin Virol,128,,104425,32446167,10.1016/j.jcv.2020.104425,,#1855,Peng 2020,"",qa done
Severe and fatal forms of COVID-19 in children,"Oualha, M.; Bendavid, M.; Berteloot, L.; Corsia, A.; Lesage, F.; Vedrenne, M.; Salvador, E.; Grimaud, M.; Chareyre, J.; de Marcellus, C.; Dupic, L.; de Saint Blanquat, L.; Heilbronner, C.; Drummond, D.; Castelle, M.; Berthaud, R.; Angoulvant, F.; Toubiana, J.; Pinhas, Y.; Frange, P.; Chéron, G.; Fourgeaud, J.; Moulin, F.; Renolleau, S.","OBJECTIVES: The aim of this study was to describe severe forms of novel coronavirus disease 2019 in children, including patient characteristics, clinical, laboratory, and imaging findings, as well as the disease management and outcomes. METHODS: This was a retrospective, single-center, observational study conducted in a pediatric intensive and high-dependency care unit (PICU, HDU) in an urban hospital in Paris. All patients, aged from 1 month to 18 years, admitted for confirmed or highly suspected SARS-CoV-2 were included. RESULTS: We analyzed the data of 27 children. Comorbidities (n=19, 70%) were mainly neurological (n=7), respiratory, (n=4), or sickle cell disease (n=4). SARS-CoV-2 PCR results were positive in 24 children (nasopharyngeal swabs). The three remaining children had a chest CT scan consistent with COVID-19. Respiratory involvement was observed in 24 patients (89%). Supportive treatments were invasive mechanical ventilation (n=9), catecholamine (n=4), erythropheresis (n=4), renal replacement therapy (n=1), and extracorporeal membrane oxygenation (n=1). Five children died, of whom three were without past medical history. CONCLUSION: This study highlighted the large spectrum of clinical presentation and time course of disease progression as well as the non-negligible occurrence of pediatric life-threatening and fatal cases of COVID-19 mostly in patients with comorbidities. Additional laboratory investigations are needed to further analyze the mechanism underlying the variability of SARS-Cov-2 pathogenicity in children.",2020,Jul,Arch Pediatr,27,5,235-238,32518045,10.1016/j.arcped.2020.05.010,,#1550,Oualha 2020,"",extracted; qa done
"Clinical Features of 33 Cases in Children Infected With SARS-CoV-2 in Anhui Province, China-A Multi-Center Retrospective Cohort Study","Zhang, L.; Huang, S.","Background: As of 23rd February 2020, China had 77,048 patients with confirmed SARS-CoV-2 infections, and only 2. 1% of patients were under the age of 19 years. Morbidity among children was much lower, with milder or absent signs and symptoms; chest CT scans showed milder symptoms, if at all, compared to adults. Objective: Report the epidemiological, clinical features, laboratory, radiological characteristics, and treatment of SARS-CoV-2 infections. Compare additional signs and symptoms, investigate familial clustering, compare laboratory results, and find out relevance between age and typical chest CT scans in patients. Methods: We studied 33 young patients with laboratory-confirmed SARS-CoV-2 infection in Anhui Province of China by 16th February 2020. Their signs, symptoms, and familial clustering were analyzed. We compared the laboratory test results, age, and gender among three parts based on their chest CT scans. Results: Familial clustering was seen in 30 (30/33; 90.91%) patients; three families had seven confirmed members infected with the disease. Eight (8/33; 24.24%) patients had no symptoms, 12 (12/33; 36.36%) patients had only fever, nine (9/33; 27.27%) patients had fever and additional symptoms, and 12 (12/33; 36.36%) patients had no fever. Dry cough was the most common additional symptom. In 25 (25/33; 75.76%) patients, the percent of lymphocytes decreased; 26 (26/33; 78.79%) patients were older than 7 years. More male than female patients and patients older than 8 years showed typical abnormalities in the chest CT scans (P = 0.038). Only two 18 years old patients had hepatic injury. Conclusion: Children's infection is mild and familial clustering was the most common channel. The older patients had more typical ground glass opacity (GGO) or consolidation in chest CT scans. Cases without fever strongly suggested that non-symptomatic children should not be assumed to be free of infection when their family members have confirmed infection. Most children showed clinical features distinguishable from adults and with increased susceptibility within family members.",2020,,Front Public Health,8,,255,32612971,10.3389/fpubh.2020.00255,,#1068,Zhang 2020,"",extracted; qa done
Clinical and epidemiological characteristics of pediatric SARS-CoV-2 infections in China: A multicenter case series,"Zhang, C.; Gu, J.; Chen, Q.; Deng, N.; Li, J.; Huang, L.; Zhou, X.","BACKGROUND: As of April 18, 2020, over 2,000,000 patients had been diagnosed with coronavirus disease-2019 (COVID-19) globally, and more than 140,000 deaths had been reported. The clinical and epidemiological characteristics of adult patients have been documented recently. However, information on pediatric patients is limited. We describe the clinical and epidemiological characteristics of pediatric patients to provide valuable insight into the early diagnosis and assessment of COVID-19 in children. METHODS AND FINDINGS: This retrospective, observational study involves a case series performed at 4 hospitals in West China. Thirty-four pediatric patients with COVID-19 were included from January 27 to February 23, 2020. The final follow-up visit was completed by March 16, 2020. Clinical and epidemiological characteristics were analyzed on the basis of demographic data, medical history, laboratory tests, radiological findings, and treatment information. Data analysis was performed for 34 pediatrics patients with COVID-19 aged from 1 to 144 months (median 33.00, interquartile range 10.00-94.25), among whom 14 males (41%) were included. All the patients in the current study presented mild (18%) or moderate (82%) forms of COVID-19. A total of 48% of patients were noted to be without a history of exposure to an identified source. Mixed infections of other respiratory pathogens were reported in 16 patients (47%). Comorbidities were reported in 6 patients (18%). The most common initial symptoms were fever (76%) and cough (62%). Expectoration (21%), vomiting (12%), and diarrhea (12%) were also reported in a considerable portion of cases. A substantial increase was detected in serum amyloid A for 17 patients (among 20 patients with available data; 85%) and in high-sensitivity C-reactive protein for 17 patients (among 29 patients with available data; 59%), whereas a decrease in prealbumin was noticed in 25 patients (among 32 patients with available data; 78%). In addition, significant increases in the levels of lactate dehydrogenase and α-hydroxybutyrate dehydrogenase were detected in 28 patients (among 34 patients with available data; 82%) and 25 patients (among 34 patients with available data; 74%), respectively. Patchy lesions in lobules were detected by chest computed tomographic scans in 28 patients (82%). Ground-glass opacities, which were a typical feature in adults, were rare in pediatric patients (3%). Rapid radiologic progression and a late-onset pattern of lesions in the lobules were also noticed. Lesions in lobules still existed in 24 (among 32 patients with lesions; 75%) patients that were discharged, although the main symptoms disappeared a few days after treatment. All patients were discharged, and the median duration of hospitalization was 10.00 (8.00-14.25) days. The current study was limited by the small sample size and a lack of dynamic detection of inflammatory markers. CONCLUSIONS: Our data systemically presented the clinical and epidemiological features, as well as the outcomes, of pediatric patients with COVID-19. Stratified analysis was performed between mild and moderate cases. The findings offer new insight into early identification and intervention in pediatric patients with COVID-19.",2020,Jun,PLoS Med,17,6,e1003130,32544155,10.1371/journal.pmed.1003130,,#1073,Zhang 2020,"",extracted; qa done
Preliminary epidemiological analysis on children and adolescents with novel coronavirus disease (2019-nCoV) in a central area of Calabria region,"Talarico, V.; Nicoletti, A.; Sabetta, L.; Minchella, P.; Raiola, G.",not available.,2020,May 11,Acta Biomed,91,2,232-233,32420955,10.23750/abm.v91i2.9550,,#1294,Talarico 2020,"",Letter to Editor; extracted; qa done
"Characteristics and diagnosis rate of 5630 subjects receiving SARS-CoV-2 nucleic acid tests from Wuhan, China","Shen, N.; Zhu, Y.; Wang, X.; Peng, J.; Liu, W.; Wang, F.; Lu, Y.; Cheng, L.; Sun, Z.","BACKGROUNDThe severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has caused a novel viral pneumonia (COVID-19), which is rapidly spreading throughout the world. The positive result of nucleic acid test is a golden criterion to confirm SARS-CoV-2 infection, but the detection features remain unclear.METHODSWe performed a retrospective analysis in 5630 high-risk individuals receiving SARS-CoV-2 nucleic acid tests in Wuhan, China, and investigated their characteristics and diagnosis rates.RESULTSThe overall diagnosis rate was 34.7% (1952/5630). Male (P = 0.025) and older populations (P = 2.525 × 10-39) were at significantly higher risk of SARS-CoV-2 infection. People were generally susceptible, and most cases concentrated in people of 30-79 years. Furthermore, we investigated the association between diagnosis rate and the amount of testing in 501 subjects. Results revealed a 1.27-fold improvement (from 27.9% to 35.5%) of diagnosis rate from testing once to twice (P = 5.847 × 10-9) and a 1.43-fold improvement (from 27.9% to 39.9%) from testing once to 3 times (P = 7.797 × 10-14). More than 3 testing administrations was not helpful for further improvement. However, this improvement was not observed in subjects with pneumonia (P = 0.097).CONCLUSIONAll populations are susceptible to SARS-CoV-2 infection, and male and older-aged populations are at significantly higher risk. Increasing the amount of testing could significantly improve diagnosis rates, except for subjects with pneumonia. It is recommended to test twice in those high-risk individuals whose results are negative the first time, and performing 3 tests is better, if possible.FUNDINGThis work was supported by National Mega Project on Major Infectious Disease Prevention (no. 2017ZX10103005-007) and National Key Research and Development Program of China (no. 2018YFE0204500).",2020,May 21,JCI Insight,5,10,,32352933,10.1172/jci.insight.137662,,#1393,Shen 2020,"",extracted; qa done
Characteristics of Children With Reactivation of SARS-CoV-2 Infection After Hospital Discharge,"Zhao, W.; Wang, Y.; Tang, Y.; Zhao, W.; Fan, Y.; Liu, G.; Chen, R.; Song, R.; Zhou, W.; Liu, Y.; Zhang, F.",,2020,May 28,Clin Pediatr (Phila),,,9922820928057,32462940,10.1177/0009922820928057,,#1050,Zhao 2020,"",extracted; qa done
Children hospitalized for coronavirus disease 2019 (COVID-19): A multicenter retrospective descriptive study,"Zhang, B.; Liu, S.; Zhang, J.; Xiao, J.; Zhu, S.; Dong, Y.; Yuan, H.; Zhong, Q.; Yang, K.; Zou, Y.; Zhang, S.",,2020,May 7,J Infect,,,,32387474,10.1016/j.jinf.2020.04.045,,#1074,Zhang 2020,"",extracted; qa done
"A single-center, retrospective study of COVID-19 features in children: a descriptive investigation","Ma, H.; Hu, J.; Tian, J.; Zhou, X.; Li, H.; Laws, M. T.; Wesemann, L. D.; Zhu, B.; Chen, W.; Ramos, R.; Xia, J.; Shao, J.","BACKGROUND: Compared to adults, there are relatively few studies on COVID-19 infection in children, and even less focusing on the unique features of COVID-19 in children in terms of laboratory findings, locations of computerized tomography (CT) lesions, and the role of CT in evaluating clinical recovery. The objective of this study is to report the results from patients at Wuhan Children's Hospital, located within the initial center of the outbreak. METHODS: Clinical, imaging, and laboratory data of 76 children were collected retrospectively and analyzed with the Fisher exact test and Cox regression statistical methods. RESULTS: Among 50 children with a positive COVID-19 real-time reverse-transcriptase polymerase chain reaction (PCR), five had negative PCR results initially but showed positive results in subsequent tests. Eight (16%) patients had lymphopenia, seven (14%) with thrombocytopenia, four (8%) with lymphocytosis, two (4%) with thrombocytosis, ten (20%) with elevated C-reactive protein, four (8%) with hemoglobin above, and six (12%) with below standard reference values. Seven (14%) of the 50 had no radiologic evidence of disease on chest CT. For the 43 patients who had abnormal CT findings, in addition to previously reported patterns of ground-glass opacity (67%), local patchy shadowing (37%), local bilateral patchy shadowing (21%), and lesion location of lower lobes (65%), other CT features include that an overwhelming number of pediatric patients had lesions in the subpleural area (95%) and 22 of the 28 lower lobe lesions were in the posterior segment (78%). Lesions in most of the 15 patients (67%) who received chest CT at discharge were not completely absorbed, and 26% of these pediatric patients had CT lesions that were either unchanged or worse. CONCLUSIONS: There were a few differences between COVID-19 children and COVID-19 adults in terms of laboratory findings and CT characteristics. CT is a powerful tool to detect and characterize COVID-19 pneumonia but has little utility in evaluating clinical recovery for children. These results oppose current COVID-19 hospital discharge criteria in China, as one requirement is that pulmonary imaging must show significant lesion absorption prior to discharge. These differences between pediatric and adult cases of COVID-19 may necessitate pediatric-specific discharge criteria.",2020,May 6,BMC Med,18,1,123,32370747,10.1186/s12916-020-01596-9,,#1753,Ma 2020,"",extracted; qa done; table-for-extraction
